Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
18-C65_contigs	Pseudomonas aeruginosa (6)	19	1617	469	18	1594	5	0	0	0	98.31	0.49	0.00
19-C120_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1605	9	0	0	0	99.86	0.80	0.00
19-C67_contigs	Pseudomonas aeruginosa (6)	19	1617	469	19	1593	5	0	0	0	98.30	0.49	0.00
2-C155_contigs	Pseudomonas aeruginosa (6)	19	1617	469	12	1601	4	0	0	0	98.36	0.28	0.00
2-C4_contigs	Pseudomonas aeruginosa (6)	19	1617	469	46	1567	4	0	0	0	94.69	0.28	0.00
20-C123_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1608	6	0	0	0	99.86	0.56	0.00
20-C68_contigs	Pseudomonas aeruginosa (6)	19	1617	469	18	1594	5	0	0	0	98.31	0.49	0.00
21-C124_contigs	Pseudomonas aeruginosa (6)	19	1617	469	6	1570	40	1	0	0	99.40	3.61	18.60
21-C78_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1610	4	0	0	0	99.86	0.28	0.00
22-C128_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1605	9	0	0	0	99.86	0.85	11.11
22-C79_contigs	Pseudomonas aeruginosa (6)	19	1617	469	6	1597	14	0	0	0	99.69	1.37	7.14
23-C131_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1609	5	0	0	0	99.86	0.36	0.00
23-C80_contigs	Pseudomonas aeruginosa (6)	19	1617	469	6	1597	14	0	0	0	99.69	1.37	7.14
24-C133_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1609	5	0	0	0	99.86	0.54	20.00
24-C81_contigs	Pseudomonas aeruginosa (6)	19	1617	469	7	1594	16	0	0	0	99.67	1.66	12.50
25-C134_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1608	5	0	0	0	99.83	0.54	20.00
25-C83_contigs	Pseudomonas aeruginosa (6)	19	1617	469	9	1592	16	0	0	0	99.21	1.50	12.50
26-A1_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1599	13	0	0	0	99.63	1.60	7.69
26-C84_contigs	Pseudomonas aeruginosa (6)	19	1617	469	6	1597	14	0	0	0	99.69	1.37	7.14
27-A2_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1602	8	1	0	1	99.73	0.72	40.62
27-C85_contigs	Pseudomonas aeruginosa (6)	19	1617	469	26	1579	11	1	0	0	96.91	1.68	7.14
28-A12_contigs	Pseudomonas aeruginosa (6)	19	1617	469	21	1584	10	2	0	0	97.17	1.90	6.25
28-C87_contigs	Pseudomonas aeruginosa (6)	19	1617	469	26	1579	11	1	0	0	97.08	1.68	7.14
29-A19_contigs	Pseudomonas aeruginosa (6)	19	1617	469	18	1582	16	1	0	0	97.51	1.62	0.00
29-C95_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1605	9	0	0	0	99.86	0.91	11.11
3-C76_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1606	8	0	0	0	99.86	0.73	0.00
3-C8_contigs	Pseudomonas aeruginosa (6)	19	1617	469	10	1596	10	1	0	0	99.10	0.95	0.00
30-A36_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1608	4	0	0	0	99.79	0.28	0.00
30-C97_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1605	9	0	0	0	99.86	0.91	11.11
31-C55_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1610	4	0	0	0	99.86	0.28	0.00
31-C98_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1604	10	0	0	0	99.86	1.01	10.00
32-C56_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1611	3	0	0	0	99.86	0.25	0.00
32-C99_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1605	9	0	0	0	99.86	0.91	11.11
33-C101_contigs	Pseudomonas aeruginosa (6)	19	1617	469	11	1600	6	0	0	0	98.58	0.56	0.00
33-C57_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1611	3	0	0	0	99.86	0.25	0.00
34-C103_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1608	6	0	0	0	99.86	0.56	0.00
34-C58_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1609	4	0	0	0	99.75	0.28	0.00
35-C106_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1599	14	0	0	0	99.64	1.70	7.14
35-C59_contigs	Pseudomonas aeruginosa (6)	19	1617	469	6	1607	4	0	0	0	99.70	0.28	0.00
36-C108_contigs	Pseudomonas aeruginosa (6)	19	1617	469	8	1592	17	0	0	0	99.15	1.79	17.65
36-C60_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1611	3	0	0	0	99.86	0.25	0.00
37-C115_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1604	9	0	0	0	99.64	0.83	0.00
37-C61_contigs	Pseudomonas aeruginosa (6)	19	1617	469	6	1594	17	0	0	0	99.52	1.38	0.00
38-B3_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1606	7	0	0	0	99.80	0.47	0.00
38-C116_contigs	Pseudomonas aeruginosa (6)	19	1617	469	7	1606	4	0	0	0	99.59	0.28	0.00
39-B16_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1610	4	0	0	0	99.86	0.47	0.00
39-C118_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1608	5	0	0	0	99.83	0.31	20.00
4-C10_contigs	Pseudomonas aeruginosa (6)	19	1617	469	89	1494	33	1	0	0	94.73	2.65	13.89
4-C77_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1605	7	1	0	0	99.79	0.80	10.00
40-B34_contigs	Pseudomonas aeruginosa (6)	19	1617	469	16	1591	10	0	0	0	98.75	1.18	0.00
40-C125_contigs	Pseudomonas aeruginosa (6)	19	1617	469	18	1595	4	0	0	0	97.51	0.36	0.00
41-B37_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1601	13	0	0	0	99.86	0.89	0.00
41-C126_contigs	Pseudomonas aeruginosa (6)	19	1617	469	41	1352	128	89	4	3	96.70	24.56	75.05
42-B62_contigs	Pseudomonas aeruginosa (6)	19	1617	469	16	1595	6	0	0	0	97.94	0.70	16.67
42-C127_contigs	Pseudomonas aeruginosa (6)	19	1617	469	7	1602	8	0	0	0	99.74	0.78	0.00
43-B113_contigs	Pseudomonas aeruginosa (6)	19	1617	469	7	1602	7	1	0	0	99.22	1.01	0.00
43-C129_contigs	Pseudomonas aeruginosa (6)	19	1617	469	7	1606	4	0	0	0	99.49	0.28	0.00
44-B114_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1608	6	0	0	0	99.86	0.54	0.00
44-C143_contigs	Pseudomonas aeruginosa (6)	19	1617	469	81	1143	232	133	23	5	94.36	41.70	78.28
45-B191_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1609	5	0	0	0	99.86	0.29	0.00
45-C144_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1588	22	3	0	0	99.64	2.96	35.48
46-B199_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1600	12	1	0	0	99.64	1.35	0.00
46-C146_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1597	14	1	0	0	99.60	2.01	0.00
47-C148_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1597	14	1	0	0	99.60	2.01	0.00
47-C63_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1607	7	0	0	0	99.86	0.78	0.00
48-A3_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1605	8	0	0	0	99.83	0.83	0.00
48-C66_contigs	Pseudomonas aeruginosa (6)	19	1617	469	18	1594	5	0	0	0	98.31	0.49	0.00
49-A4_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1605	8	0	0	0	99.83	0.83	0.00
49-C69_contigs	Pseudomonas aeruginosa (6)	19	1617	469	7	1605	5	0	0	0	99.67	0.38	0.00
5-C12_contigs	Pseudomonas aeruginosa (6)	19	1617	469	6	1602	9	0	0	0	99.38	1.07	0.00
5-C82_contigs	Pseudomonas aeruginosa (6)	19	1617	469	7	1596	14	0	0	0	99.67	1.37	7.14
50-A5_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1606	7	0	0	0	99.83	0.78	0.00
50-C23_contigs	Pseudomonas aeruginosa (6)	19	1617	469	18	1577	21	1	0	0	97.51	1.62	4.17
51-A46_contigs	Pseudomonas aeruginosa (6)	19	1617	469	8	1600	9	0	0	0	99.46	1.20	11.11
51-C25_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1610	4	0	0	0	99.86	0.47	0.00
52-A48_contigs	Pseudomonas aeruginosa (6)	19	1617	469	8	1600	9	0	0	0	99.46	1.20	11.11
52-C29_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1598	14	0	0	0	99.80	0.96	7.14
53-A52_contigs	Pseudomonas aeruginosa (6)	19	1617	469	9	1599	9	0	0	0	99.45	1.20	11.11
53-C30_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1598	14	0	0	0	99.80	0.96	7.14
54-A53_contigs	Pseudomonas aeruginosa (6)	19	1617	469	9	1598	10	0	0	0	99.45	1.42	10.00
54-C36_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1603	11	0	0	0	99.86	1.23	9.09
55-A54_contigs	Pseudomonas aeruginosa (6)	19	1617	469	8	1599	10	0	0	0	99.46	1.26	20.00
55-C42_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1602	9	1	0	0	99.77	0.84	8.33
56-A55_contigs	Pseudomonas aeruginosa (6)	19	1617	469	9	1599	9	0	0	0	99.45	1.20	11.11
56-C43_contigs	Pseudomonas aeruginosa (6)	19	1617	469	10	1597	10	0	0	0	98.91	1.27	0.00
57-A56_contigs	Pseudomonas aeruginosa (6)	19	1617	469	9	1599	9	0	0	0	99.45	1.20	11.11
57-C49_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1605	9	0	0	0	99.86	1.06	0.00
58-A58_contigs	Pseudomonas aeruginosa (6)	19	1617	469	9	1599	9	0	0	0	99.45	1.20	11.11
58-C51_contigs	Pseudomonas aeruginosa (6)	19	1617	469	33	1576	8	0	0	0	96.87	0.74	0.00
59-A60_contigs	Pseudomonas aeruginosa (6)	19	1617	469	8	1598	11	0	0	0	99.46	1.42	18.18
59-C54_contigs	Pseudomonas aeruginosa (6)	19	1617	469	14	1582	21	0	0	0	98.12	1.78	0.00
6-C13_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1606	8	0	0	0	99.86	0.99	12.50
6-C86_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1606	7	0	0	0	99.79	0.37	0.00
60-A70_contigs	Pseudomonas aeruginosa (6)	19	1617	469	9	1512	95	1	0	0	99.45	4.05	89.80
60-C150_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1611	3	0	0	0	99.86	0.25	0.00
61-A71_contigs	Pseudomonas aeruginosa (6)	19	1617	469	9	1599	9	0	0	0	99.45	1.20	11.11
61-C151_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1607	6	0	0	0	99.85	0.53	0.00
62-A72_contigs	Pseudomonas aeruginosa (6)	19	1617	469	8	1600	9	0	0	0	99.46	1.20	11.11
62-C153_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1606	8	0	0	0	99.86	1.13	12.50
63-A73_contigs	Pseudomonas aeruginosa (6)	19	1617	469	9	1599	9	0	0	0	99.45	1.20	11.11
63-C71_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1608	6	0	0	0	99.86	0.30	0.00
64-A75_contigs	Pseudomonas aeruginosa (6)	19	1617	469	9	1599	9	0	0	0	99.45	1.20	11.11
64-C73_contigs	Pseudomonas aeruginosa (6)	19	1617	469	12	1598	7	0	0	0	98.36	0.78	14.29
65-A76_contigs	Pseudomonas aeruginosa (6)	19	1617	469	9	1599	9	0	0	0	99.45	1.20	11.11
65-C74_contigs	Pseudomonas aeruginosa (6)	19	1617	469	10	1603	4	0	0	0	98.98	0.28	0.00
66-A77_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1609	5	0	0	0	99.86	0.33	0.00
66-C2_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1609	5	0	0	0	99.86	0.54	20.00
67-A78_contigs	Pseudomonas aeruginosa (6)	19	1617	469	14	1593	9	1	0	0	98.24	1.49	33.33
67-C5_contigs	Pseudomonas aeruginosa (6)	19	1617	469	13	1600	4	0	0	0	98.74	0.28	0.00
68-A80_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1609	5	0	0	0	99.86	0.33	0.00
68-C6_contigs	Pseudomonas aeruginosa (6)	19	1617	469	17	1589	11	0	0	0	97.72	0.93	9.09
69-A81_contigs	Pseudomonas aeruginosa (6)	19	1617	469	13	1595	9	0	0	0	98.26	1.06	11.11
69-C7_contigs	Pseudomonas aeruginosa (6)	19	1617	469	17	1590	10	0	0	0	97.72	0.71	10.00
7-C14_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1605	8	0	0	0	99.64	1.02	12.50
7-C88_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1606	6	0	0	0	99.59	0.42	0.00
70-A82_contigs	Pseudomonas aeruginosa (6)	19	1617	469	14	1593	10	0	0	0	98.22	1.11	10.00
70-C9_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1603	8	1	0	0	99.62	0.85	0.00
71-A85_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1609	5	0	0	0	99.86	0.33	0.00
71-C11_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1604	10	0	0	0	99.86	1.28	0.00
72-A86_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1609	5	0	0	0	99.86	0.33	0.00
72-C16_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1604	8	0	0	0	99.78	1.13	12.50
73-A90_contigs	Pseudomonas aeruginosa (6)	19	1617	469	8	1601	8	0	0	0	99.27	0.65	25.00
73-C18_contigs	Pseudomonas aeruginosa (6)	19	1617	469	7	1597	12	1	0	0	99.52	1.52	13.33
74-A91_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1608	6	0	0	0	99.86	0.40	16.67
74-C20_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1607	6	0	0	0	99.64	0.54	0.00
75-A92_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1609	5	0	0	0	99.86	0.33	0.00
75-C135_contigs	Pseudomonas aeruginosa (6)	19	1617	469	17	1593	6	1	0	0	98.15	0.41	0.00
76-A95_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1608	6	0	0	0	99.86	0.34	16.67
76-C137_contigs	Pseudomonas aeruginosa (6)	19	1617	469	10	1600	7	0	0	0	98.95	0.92	14.29
77-A97_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1609	5	0	0	0	99.86	0.33	0.00
77-C139_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1603	10	0	0	0	99.64	0.82	0.00
78-A100_contigs	Pseudomonas aeruginosa (6)	19	1617	469	14	1594	9	0	0	0	98.24	1.06	11.11
78-C141_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1603	10	0	0	0	99.64	0.82	0.00
79-A106_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1609	5	0	0	0	99.86	0.33	0.00
79-C142_contigs	Pseudomonas aeruginosa (6)	19	1617	469	6	1597	14	0	0	0	99.74	1.10	7.14
8-C15_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1607	7	0	0	0	99.86	0.92	14.29
8-C89_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1610	4	0	0	0	99.86	0.28	0.00
80-A107_contigs	Pseudomonas aeruginosa (6)	19	1617	469	31	1442	116	24	2	2	98.09	10.10	72.89
80-C104_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1603	10	0	0	0	99.64	1.18	0.00
81-A119_contigs	Pseudomonas aeruginosa (6)	19	1617	469	39	1559	17	2	0	0	96.75	1.31	13.04
81-C105_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1610	4	0	0	0	99.86	0.28	0.00
82-A122_contigs	Pseudomonas aeruginosa (6)	19	1617	469	39	1559	17	2	0	0	96.75	1.31	13.04
82-C107_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1611	3	0	0	0	99.86	0.25	0.00
83-A123_contigs	Pseudomonas aeruginosa (6)	19	1617	469	39	1559	17	2	0	0	96.75	1.31	13.04
83-C109_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1610	4	0	0	0	99.86	0.28	0.00
84-A126_contigs	Pseudomonas aeruginosa (6)	19	1617	469	45	1551	19	2	0	0	96.04	1.40	12.00
84-C110_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1603	10	0	0	0	99.64	1.18	0.00
85-A130_contigs	Pseudomonas aeruginosa (6)	19	1617	469	52	1543	20	2	0	0	95.44	1.62	7.69
85-C111_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1602	11	0	0	0	99.64	1.40	0.00
86-A134_contigs	Pseudomonas aeruginosa (6)	19	1617	469	41	1557	17	2	0	0	96.43	1.31	13.04
86-C112_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1603	10	0	0	0	99.64	1.18	0.00
87-A137_contigs	Pseudomonas aeruginosa (6)	19	1617	469	39	1559	17	2	0	0	96.75	1.31	13.04
87-C114_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1605	8	0	0	0	99.64	0.76	0.00
88-C117_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1607	4	1	0	0	99.83	0.70	14.29
89-A141_contigs	Pseudomonas aeruginosa (6)	19	1617	469	40	1555	20	2	0	0	96.70	1.58	15.38
89-C156_contigs	Pseudomonas aeruginosa (6)	19	1617	469	6	1595	16	0	0	0	99.59	0.95	6.25
9-C17_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1605	7	0	0	0	99.78	0.92	14.29
9-C91_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1608	6	0	0	0	99.86	0.59	16.67
90-A144_contigs	Pseudomonas aeruginosa (6)	19	1617	469	39	1559	17	2	0	0	96.75	1.31	13.04
90-C158_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1606	8	0	0	0	99.86	1.13	12.50
91-A147_contigs	Pseudomonas aeruginosa (6)	19	1617	469	39	1558	18	2	0	0	96.75	1.32	12.50
91-C159_contigs	Pseudomonas aeruginosa (6)	19	1617	469	6	1594	17	0	0	0	99.59	1.16	5.88
92-A148_contigs	Pseudomonas aeruginosa (6)	19	1617	469	39	1559	17	2	0	0	96.75	1.31	13.04
92-C160_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1608	6	0	0	0	99.86	0.56	0.00
93-A151_contigs	Pseudomonas aeruginosa (6)	19	1617	469	40	1557	18	2	0	0	96.54	1.37	12.50
93-C161_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1609	5	0	0	0	99.86	0.29	0.00
94-A154_contigs	Pseudomonas aeruginosa (6)	19	1617	469	40	1557	18	2	0	0	96.54	1.38	12.50
94-C164_contigs	Pseudomonas aeruginosa (6)	19	1617	469	30	1578	9	0	0	0	97.39	0.64	0.00
95-A156_contigs	Pseudomonas aeruginosa (6)	19	1617	469	39	1559	17	2	0	0	96.75	1.31	13.04
95-C167_contigs	Pseudomonas aeruginosa (6)	19	1617	469	8	1599	10	0	0	0	99.42	0.71	0.00
96-A163_contigs	Pseudomonas aeruginosa (6)	19	1617	469	36	1564	17	0	0	0	96.02	1.36	23.53
96-C168_contigs	Pseudomonas aeruginosa (6)	19	1617	469	4	1605	8	0	0	0	99.64	0.83	12.50
