#genome_asm_accession	#genome_name	#protein_accession	#protein_name	#pathogen_association	#num_hit_genera	#hit_genera_list
GCF_000006765.1	Pseudomonas aeruginosa PAO1	NP_249911.1	hypothetical protein PA1220 [Pseudomonas aeruginosa PAO1]	pathogen	3	Burkholderia;Pseudomonas;Serratia
GCF_000829885.1	Pseudomonas aeruginosa	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_000981825.1	Pseudomonas aeruginosa	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001447845.1	Pseudomonas aeruginosa	WP_003109228.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Serratia
GCF_001447845.1	Pseudomonas aeruginosa	WP_003120798.1	MULTISPECIES: antibiotic biosynthesis monooxygenase [Pseudomonas]	pathogen	1	Burkholderia
GCF_001447845.1	Pseudomonas aeruginosa	WP_003143203.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	3	Burkholderia;Morganella;Providencia
GCF_001482325.1	Pseudomonas aeruginosa	WP_003114923.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	1	Burkholderia
GCF_001482325.1	Pseudomonas aeruginosa	WP_003116359.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	1	Burkholderia
GCF_001482325.1	Pseudomonas aeruginosa	WP_003120545.1	MULTISPECIES: phytanoyl-CoA dioxygenase family protein [Pseudomonas]	pathogen	1	Burkholderia
GCF_001482325.1	Pseudomonas aeruginosa	WP_003143203.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Providencia
GCF_001482325.1	Pseudomonas aeruginosa	WP_009877656.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	1	Burkholderia
GCF_001482325.1	Pseudomonas aeruginosa	WP_034047840.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	1	Burkholderia
GCF_001515845.2	Pseudomonas aeruginosa	WP_003104007.1	MULTISPECIES: hypothetical protein [Proteobacteria]	pathogen	3	Burkholderia;Pseudomonas;Stenotrophomonas
GCF_001516105.1	Pseudomonas aeruginosa	WP_003087135.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001516165.2	Pseudomonas aeruginosa	WP_031690985.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001516185.2	Pseudomonas aeruginosa	WP_023087614.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001516205.2	Pseudomonas aeruginosa	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001516205.2	Pseudomonas aeruginosa	WP_031299072.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001516225.2	Pseudomonas aeruginosa	WP_003104007.1	MULTISPECIES: hypothetical protein [Proteobacteria]	pathogen	3	Burkholderia;Pseudomonas;Stenotrophomonas
GCF_001516265.1	Pseudomonas aeruginosa	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001516265.1	Pseudomonas aeruginosa	WP_023114185.1	MULTISPECIES: hypothetical protein [Gammaproteobacteria]	pathogen	2	Burkholderia;Pseudomonas
GCF_001516365.2	Pseudomonas aeruginosa	WP_003111331.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001516385.1	Pseudomonas aeruginosa	WP_003111331.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001547955.1	Pseudomonas aeruginosa	WP_009314782.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001548135.1	Pseudomonas aeruginosa	WP_003082503.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001548135.1	Pseudomonas aeruginosa	WP_003097713.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	3	Burkholderia;Paraburkholderia;Pseudomonas
GCF_001548135.1	Pseudomonas aeruginosa	WP_003098728.1	MULTISPECIES: fucose-binding lectin PA-IIL [Pseudomonas]	pathogen	4	Burkholderia;Chromobacterium;Pseudomonas;Ralstonia
GCF_001548135.1	Pseudomonas aeruginosa	WP_003116566.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	3	Burkholderia;Chromobacterium;Pseudomonas
GCF_001548135.1	Pseudomonas aeruginosa	WP_003146853.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001548135.1	Pseudomonas aeruginosa	WP_060852920.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001548335.1	Pseudomonas aeruginosa	WP_031294923.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001618925.1	Pseudomonas aeruginosa	WP_003104007.1	MULTISPECIES: hypothetical protein [Proteobacteria]	pathogen	3	Burkholderia;Pseudomonas;Stenotrophomonas
GCF_001618925.1	Pseudomonas aeruginosa	WP_016263332.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001632245.1	Pseudomonas aeruginosa	WP_003104007.1	MULTISPECIES: hypothetical protein [Proteobacteria]	pathogen	3	Burkholderia;Pseudomonas;Stenotrophomonas
GCF_001632245.1	Pseudomonas aeruginosa	WP_023092030.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001632245.1	Pseudomonas aeruginosa	WP_031277798.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001721745.1	Pseudomonas aeruginosa	WP_003091745.1	MULTISPECIES: fucose-binding lectin PA-IIL [Pseudomonas]	pathogen	4	Burkholderia;Chromobacterium;Pseudomonas;Ralstonia
GCF_001721745.1	Pseudomonas aeruginosa	WP_009314782.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001721745.1	Pseudomonas aeruginosa	WP_073667188.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001721765.1	Pseudomonas aeruginosa	WP_003091745.1	MULTISPECIES: fucose-binding lectin PA-IIL [Pseudomonas]	pathogen	4	Burkholderia;Chromobacterium;Pseudomonas;Ralstonia
GCF_001721765.1	Pseudomonas aeruginosa	WP_009314782.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001721765.1	Pseudomonas aeruginosa	WP_073667188.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001721785.1	Pseudomonas aeruginosa	WP_003091745.1	MULTISPECIES: fucose-binding lectin PA-IIL [Pseudomonas]	pathogen	4	Burkholderia;Chromobacterium;Pseudomonas;Ralstonia
GCF_001721785.1	Pseudomonas aeruginosa	WP_009314782.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001721785.1	Pseudomonas aeruginosa	WP_073667188.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001721805.1	Pseudomonas aeruginosa	WP_003091745.1	MULTISPECIES: fucose-binding lectin PA-IIL [Pseudomonas]	pathogen	4	Burkholderia;Chromobacterium;Pseudomonas;Ralstonia
GCF_001721805.1	Pseudomonas aeruginosa	WP_009314782.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001721805.1	Pseudomonas aeruginosa	WP_073667188.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001721825.1	Pseudomonas aeruginosa	WP_003091745.1	MULTISPECIES: fucose-binding lectin PA-IIL [Pseudomonas]	pathogen	4	Burkholderia;Chromobacterium;Pseudomonas;Ralstonia
GCF_001721825.1	Pseudomonas aeruginosa	WP_009314782.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001721825.1	Pseudomonas aeruginosa	WP_073667188.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001721845.1	Pseudomonas aeruginosa	WP_009314782.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001721845.1	Pseudomonas aeruginosa	WP_025325125.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001721845.1	Pseudomonas aeruginosa	WP_073667188.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001722005.2	Pseudomonas aeruginosa	WP_003091745.1	MULTISPECIES: fucose-binding lectin PA-IIL [Pseudomonas]	pathogen	4	Burkholderia;Chromobacterium;Pseudomonas;Ralstonia
GCF_001722005.2	Pseudomonas aeruginosa	WP_003122299.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001722005.2	Pseudomonas aeruginosa	WP_009877656.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001722005.2	Pseudomonas aeruginosa	WP_021264538.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001722005.2	Pseudomonas aeruginosa	WP_021265158.1	TolB-like translocation protein [Pseudomonas aeruginosa]	pathogen	4	Acinetobacter;Burkholderia;Pseudomonas;Ralstonia
GCF_001722005.2	Pseudomonas aeruginosa	WP_073937587.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001722025.1	Pseudomonas aeruginosa	WP_003091745.1	MULTISPECIES: fucose-binding lectin PA-IIL [Pseudomonas]	pathogen	4	Burkholderia;Chromobacterium;Pseudomonas;Ralstonia
GCF_001722025.1	Pseudomonas aeruginosa	WP_003098486.1	MULTISPECIES: TolB-like translocation protein [Pseudomonas]	pathogen	4	Acinetobacter;Burkholderia;Pseudomonas;Ralstonia
GCF_001722025.1	Pseudomonas aeruginosa	WP_003111505.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	3	Burkholderia;Pantoea;Pseudomonas
GCF_001722025.1	Pseudomonas aeruginosa	WP_009314782.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001722025.1	Pseudomonas aeruginosa	WP_009877656.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001722025.1	Pseudomonas aeruginosa	WP_073667188.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001722045.1	Pseudomonas aeruginosa	WP_003091745.1	MULTISPECIES: fucose-binding lectin PA-IIL [Pseudomonas]	pathogen	4	Burkholderia;Chromobacterium;Pseudomonas;Ralstonia
GCF_001722045.1	Pseudomonas aeruginosa	WP_073667188.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001729505.1	Pseudomonas aeruginosa	WP_003082503.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001729505.1	Pseudomonas aeruginosa	WP_003098728.1	MULTISPECIES: fucose-binding lectin PA-IIL [Pseudomonas]	pathogen	4	Burkholderia;Chromobacterium;Pseudomonas;Ralstonia
GCF_001729505.1	Pseudomonas aeruginosa	WP_003146853.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001750705.1	Pseudomonas aeruginosa	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001750705.1	Pseudomonas aeruginosa	WP_023121055.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001792855.1	Pseudomonas aeruginosa	WP_021204956.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001792875.1	Pseudomonas aeruginosa	WP_021204956.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001870265.1	Pseudomonas aeruginosa	WP_021204956.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001874465.1	Pseudomonas aeruginosa	WP_009314782.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_001874465.1	Pseudomonas aeruginosa	WP_016263332.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_001879525.1	Pseudomonas aeruginosa	WP_003087135.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002075065.1	Pseudomonas aeruginosa	WP_031294923.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_002085605.1	Pseudomonas aeruginosa	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002085755.1	Pseudomonas aeruginosa	WP_003087135.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002085755.1	Pseudomonas aeruginosa	WP_016263332.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_002085755.1	Pseudomonas aeruginosa	WP_023098761.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_002085755.1	Pseudomonas aeruginosa	WP_031630419.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_002104595.1	Pseudomonas aeruginosa	WP_009314782.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002104595.1	Pseudomonas aeruginosa	WP_016263332.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_002104615.1	Pseudomonas aeruginosa	WP_009314782.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002104615.1	Pseudomonas aeruginosa	WP_016263332.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_002192475.1	Pseudomonas aeruginosa	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002192495.1	Pseudomonas aeruginosa	WP_009314782.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002192495.1	Pseudomonas aeruginosa	WP_016263332.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_002205355.1	Pseudomonas aeruginosa	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002208645.1	Pseudomonas aeruginosa	WP_003104007.1	MULTISPECIES: hypothetical protein [Proteobacteria]	pathogen	3	Burkholderia;Pseudomonas;Stenotrophomonas
GCF_002215345.1	Pseudomonas aeruginosa	WP_088922342.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Bordetella;Burkholderia
GCF_002223805.1	Pseudomonas aeruginosa	WP_003111331.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002237405.1	Pseudomonas aeruginosa	WP_021264538.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_002237425.1	Pseudomonas aeruginosa	WP_021264538.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_002442855.1	Pseudomonas aeruginosa	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002753655.1	Pseudomonas aeruginosa	WP_003111331.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002753655.1	Pseudomonas aeruginosa	WP_034024452.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	3	Burkholderia;Pseudomonas;Serratia
GCF_002812825.1	Pseudomonas aeruginosa	WP_043085375.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_002812845.1	Pseudomonas aeruginosa	WP_043085375.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_002812865.1	Pseudomonas aeruginosa	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002812885.1	Pseudomonas aeruginosa	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002812905.1	Pseudomonas aeruginosa	WP_003087135.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002812905.1	Pseudomonas aeruginosa	WP_003104007.1	MULTISPECIES: hypothetical protein [Proteobacteria]	pathogen	3	Burkholderia;Pseudomonas;Stenotrophomonas
GCF_002812905.1	Pseudomonas aeruginosa	WP_031630419.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_002812925.1	Pseudomonas aeruginosa	WP_003087135.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_002812925.1	Pseudomonas aeruginosa	WP_003104007.1	MULTISPECIES: hypothetical protein [Proteobacteria]	pathogen	3	Burkholderia;Pseudomonas;Stenotrophomonas
GCF_002812925.1	Pseudomonas aeruginosa	WP_031630419.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_900070375.1	Pseudomonas aeruginosa	WP_003112446.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	3	Burkholderia;Pseudomonas;Serratia
GCF_900095805.1	Pseudomonas aeruginosa	WP_003111331.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_900185255.1	Pseudomonas aeruginosa C-NN2	WP_015670327.1	MULTISPECIES: hypothetical protein [Gammaproteobacteria]	pathogen	1	Burkholderia
GCF_900185255.1	Pseudomonas aeruginosa C-NN2	WP_023087614.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_900185255.1	Pseudomonas aeruginosa C-NN2	WP_023121055.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_900243355.1	Pseudomonas aeruginosa	WP_010791839.1	MULTISPECIES: hypothetical protein [Proteobacteria]	pathogen	2	Burkholderia;Pseudomonas
GCF_900243355.1	Pseudomonas aeruginosa	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_900243355.1	Pseudomonas aeruginosa	WP_023100580.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	1	Burkholderia
