All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly         # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75   LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genomic features  Largest alignment  Total aligned length  NA50    NGA50   NA75    NGA75  LA50  LGA50  LA75  LGA75
30_A36_contigs   143                  40                      31                      28                       26                       22                       6488101                 6469122                    6450189                    6430932                     6403234                     6259626                     44         788968          6471680       6498072           66.44   66.35             387934  387934  260742  260742  7    7     13    13    45               17                      5524950                      46                     0                         0                         2                         5 + 24 part          474407            92.202               1.001              0.00               511.70                    11.40                 5751 + 66 part      308422             5982957               138093  138093  68337   68337  16    16     33    33   
30_C97_contigs   216                  60                      49                      44                       36                       33                       7129096                 7092348                    7066430                    7027315                     6869682                     6767633                     74         554731          7101661       6498072           65.73   66.35             273268  294454  146462  165456  10   9     19    16    74               26                      5701350                      71                     0                         0                         1                         13 + 37 part         1117181           91.982               1.001              0.00               974.34                    19.11                 5727 + 111 part     317217             5983295               92014   102431  32330   51771  24    21     54    44   
31_C55_contigs   127                  39                      36                      33                       31                       27                       6407761                 6384943                    6380089                    6359506                     6333350                     6201812                     49         727808          6392475       6498072           66.40   66.35             263891  263891  185195  185195  8    8     15    15    54               24                      5123077                      53                     0                         0                         0                         2 + 27 part          299121            93.459               1.003              0.00               569.47                    11.31                 5819 + 76 part      376812             6091202               157236  157236  79951   73631  15    15     29    30   
31_C98_contigs   284                  76                      60                      50                       40                       35                       7150853                 7102787                    7065552                    6982854                     6799359                     6615875                     96         675080          7115865       6498072           65.70   66.35             223803  240214  123838  136716  10   8     21    17    70               23                      5091872                      69                     0                         0                         2                         28 + 40 part         1131106           91.998               1.001              0.00               972.72                    19.12                 5727 + 113 part     317067             5983708               88807   93856   30479   49494  24    20     57    45   
32_C56_contigs   135                  42                      37                      34                       32                       28                       6408527                 6385883                    6378739                    6358079                     6331922                     6200805                     52         727807          6393106       6498072           66.40   66.35             262271  262271  200336  185195  8    8     15    16    54               25                      5154942                      55                     0                         0                         0                         2 + 28 part          299355            93.460               1.003              0.00               569.41                    11.35                 5818 + 77 part      376812             6092722               157423  157423  72453   68521  15    15     30    31   
32_C99_contigs   292                  75                      58                      51                       44                       39                       7132853                 7083150                    7045257                    6996585                     6867660                     6690119                     96         443107          7096823       6498072           65.72   66.35             232890  237753  117595  132393  11   10    23    20    65               27                      5317386                      68                     0                         0                         4                         22 + 42 part         1115033           91.930               1.001              0.00               972.53                    19.22                 5721 + 116 part     317067             5979623               88807   92789   38150   50730  24    21     56    46   
33_C101_contigs  126                  41                      36                      36                       34                       26                       6196611                 6179317                    6171930                    6171930                     6141675                     5863596                     43         1052523         6180973       6498072           66.47   66.35             256747  256747  156460  145079  7    7     14    16    50               16                      4777420                      46                     0                         0                         0                         1 + 22 part          225900            91.561               1.001              0.00               571.69                    12.24                 5707 + 72 part      341103             5952921               124809  114348  70370   58218  17    18     33    37   
33_C57_contigs   148                  42                      37                      34                       31                       28                       6407561                 6382551                    6371048                    6350614                     6300820                     6195997                     51         728067          6389142       6498072           66.40   66.35             302787  264040  184882  184882  8    9     16    16    52               24                      4756813                      57                     0                         0                         0                         2 + 29 part          300006            93.446               1.003              0.00               568.71                    11.28                 5820 + 77 part      346646             6086051               157235  157235  72886   68521  15    15     30    31   
34_C103_contigs  148                  43                      36                      35                       35                       26                       6320459                 6295062                    6285344                    6279740                     6279740                     5920834                     53         507186          6301815       6498072           66.52   66.35             269448  269448  208005  164544  10   10    16    17    53               19                      4879252                      45                     0                         0                         0                         1 + 25 part          225074            93.456               1.001              0.00               568.78                    12.09                 5802 + 82 part      339650             6075091               126436  112153  70586   68462  16    17     33    36   
34_C58_contigs   138                  42                      37                      34                       30                       26                       6408289                 6384010                    6372440                    6351857                     6285878                     6132988                     51         700416          6390930       6498072           66.40   66.35             263891  263891  200336  185509  8    8     15    16    51               25                      5118518                      53                     0                         0                         0                         2 + 29 part          300249            93.429               1.003              0.00               568.28                    11.17                 5818 + 79 part      376812             6086562               157424  157236  79951   73631  14    15     28    29   
35_C106_contigs  301                  134                     80                      60                       48                       38                       7264289                 7214271                    7086145                    6947541                     6772991                     6407381                     166        632153          7238005       6498072           65.77   66.35             189481  193514  104966  132053  12   11    25    20    55               30                      4655182                      49                     0                         0                         8                         61 + 62 part         1094021           94.343               1.002              0.00               547.98                    10.33                 5813 + 122 part     300083             6138225               78014   89730   38153   54192  25    21     56    45   
35_C59_contigs   131                  38                      33                      31                       28                       24                       6408277                 6385142                    6373272                    6362463                     6312669                     6177511                     47         790558          6392045       6498072           66.40   66.35             335149  308042  204274  204274  6    7     13    13    52               24                      5563077                      57                     0                         0                         0                         2 + 26 part          300341            93.444               1.003              0.00               573.79                    12.32                 5822 + 78 part      466678             6090364               164182  164182  85839   73631  13    13     26    27   
36_C108_contigs  405                  269                     182                     148                      83                       41                       6993190                 6950325                    6725067                    6477560                     5404421                     3813928                     299        270566          6973012       6498072           65.90   66.35             56595   58958   28395   34796   36   31    77    66    65               38                      2787796                      50                     0                         0                         4                         21 + 52 part         868133            93.821               1.001              0.00               550.13                    10.91                 5614 + 325 part     183521             6101287               32151   36440   12490   16732  58    51     145   120  
36_C60_contigs   152                  45                      41                      38                       34                       28                       6410484                 6384811                    6378815                    6358172                     6299066                     6086236                     54         700624          6391695       6498072           66.40   66.35             232404  232404  183941  165311  9    9     16    17    53               26                      5107512                      51                     0                         0                         2                         3 + 29 part          300972            93.448               1.003              0.00               566.75                    11.07                 5816 + 79 part      376812             6088369               143207  143207  73631   72571  15    15     30    31   
37_C115_contigs  191                  102                     86                      75                       62                       44                       6963243                 6943284                    6899433                    6821201                     6624187                     5973185                     109        592620          6948873       6498072           66.05   66.35             157239  162508  69891   80941   13   12    31    27    66               30                      3917254                      53                     0                         0                         1                         5 + 43 part          813666            94.276               1.001              0.00               550.09                    10.72                 5774 + 158 part     274819             6132860               68338   74929   28760   34115  31    28     70    59   
37_C61_contigs   153                  46                      38                      37                       35                       30                       6794990                 6771740                    6754372                    6748980                     6717368                     6546398                     54         962582          6778083       6498072           66.07   66.35             281422  287134  142841  162307  7    6     15    14    70               25                      5755743                      66                     0                         0                         0                         6 + 29 part          797169            91.787               1.003              0.00               954.77                    19.31                 5666 + 104 part     301406             5976855               90333   92202   43296   52442  24    23     50    46   
38_B3_contigs    115                  34                      29                      28                       27                       23                       6667588                 6646746                    6637486                    6631985                     6616047                     6472326                     44         659392          6653777       6498072           66.21   66.35             510447  510447  207797  271219  6    6     11    10    62               14                      5451294                      63                     0                         0                         0                         4 + 19 part          543953            93.953               1.001              0.00               542.43                    10.94                 5831 + 88 part      315520             6105745               130123  130123  55082   57941  17    17     37    35   
38_C116_contigs  110                  35                      24                      24                       23                       18                       6250924                 6232171                    6206362                    6206362                     6195156                     6030523                     44         938724          6237517       6498072           66.56   66.35             501046  501046  270852  270852  5    5     9     9     38               12                      5357634                      37                     0                         0                         0                         5 + 18 part          218467            92.523               1.001              0.00               533.43                    11.44                 5754 + 57 part      429980             6018289               171732  168643  90221   84572  13    14     26    28   
39_B16_contigs   161                  44                      33                      31                       27                       25                       6553924                 6529807                    6503447                    6487732                     6430507                     6340075                     53         819976          6536224       6498072           66.31   66.35             374553  374553  165444  169381  6    6     13    12    63               19                      5456920                      58                     0                         0                         3                         2 + 24 part          603474            91.174               1.001              0.00               954.95                    19.09                 5671 + 92 part      338684             5930122               102436  102436  53428   53428  20    20     43    43   
39_C118_contigs  111                  27                      20                      19                       18                       17                       6251960                 6234419                    6219165                    6211511                     6200305                     6161965                     31         815710          6237572       6498072           66.56   66.35             591515  591515  268937  268937  5    5     9     9     41               12                      5341606                      38                     0                         0                         0                         1 + 16 part          222314            92.504               1.001              0.00               530.61                    11.38                 5759 + 56 part      563622             6014670               184609  184609  103343  91725  12    12     22    25   
3_C76_contigs    196                  51                      42                      40                       37                       32                       6987932                 6958411                    6938946                    6921194                     6866638                     6677024                     60         590191          6964834       6498072           65.83   66.35             239793  253702  142940  159308  10   9     19    17    71               25                      5750334                      61                     0                         0                         1                         4 + 32 part          1019947           91.374               1.001              0.00               952.87                    19.00                 5676 + 94 part      286512             5943950               84586   90275   42207   48385  24    21     54    47   
3_C8_contigs     376                  245                     175                     140                      78                       38                       6657281                 6623163                    6441754                    6192463                     5144890                     3697297                     264        278532          6636840       6498072           66.08   66.35             56594   56759   28521   29612   31   30    72    69    54               35                      2451202                      48                     0                         0                         7                         10 + 45 part         640654            92.072               1.002              0.00               550.55                    11.60                 5556 + 309 part     218038             5990332               33936   35389   15795   16674  49    47     121   114  
40_B34_contigs   123                  34                      31                      29                       27                       25                       6897827                 6880199                    6871083                    6856310                     6831649                     6764516                     39         742935          6883870       6498072           66.03   66.35             415693  421437  245058  269779  7    6     12    11    70               20                      6066981                      52                     0                         0                         0                         2 + 25 part          831669            93.034               1.001              0.00               541.70                    10.14                 5752 + 89 part      334187             6051252               101171  106544  52701   64119  20    18     43    38   
40_C125_contigs  202                  61                      40                      36                       33                       28                       6377631                 6342760                    6300681                    6269520                     6209437                     6015093                     76         820972          6353865       6498072           66.21   66.35             266560  262802  145078  143389  7    8     15    16    55               19                      4890830                      55                     0                         0                         1                         23 + 28 part         642575            87.822               1.001              0.00               935.57                    18.42                 5490 + 87 part      316379             5709259               102431  102431  51517   50730  20    20     42    44   
41_B37_contigs   86                   28                      23                      22                       21                       20                       6531440                 6518535                    6507913                    6499440                     6476710                     6434359                     31         1274814         6520987       6498072           66.35   66.35             531968  531968  256861  256861  4    4     8     8     61               16                      5750459                      52                     0                         0                         0                         4 + 18 part          523602            92.229               1.001              0.00               927.59                    19.04                 5756 + 80 part      376141             5996166               117363  117363  64043   64043  16    16     35    35   
