All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     10_C21_contigs  10_C92_contigs   11_C145_contigs  11_C22_contigs   12_C147_contigs  12_C31_contigs   13_C149_contigs  13_C32_contigs   14_C33_contigs   14_C94_contigs  15_C44_contigs   15_C96_contigs   16_C100_contigs  16_C45_contigs   17_C102_contigs  17_C64_contigs  18_C119_contigs  18_C65_contigs   19_C120_contigs  19_C67_contigs  1_C3_contigs     20_C123_contigs  20_C68_contigs  21_C124_contigs  21_C78_contigs  22_C128_contigs  22_C79_contigs   23_C131_contigs  23_C80_contigs   24_C133_contigs  24_C81_contigs   25_C134_contigs  25_C83_contigs   26_A1_contigs   26_C84_contigs   27_A2_contigs    27_C85_contigs  28_A12_contigs  28_C87_contigs   29_A19_contigs   29_C95_contigs   2_C155_contigs  2_C4_contigs     30_A36_contigs  30_C97_contigs   31_C55_contigs  31_C98_contigs   32_C56_contigs  32_C99_contigs   33_C101_contigs  33_C57_contigs  34_C103_contigs  34_C58_contigs  35_C106_contigs  35_C59_contigs  36_C108_contigs  36_C60_contigs  37_C115_contigs  37_C61_contigs   38_B3_contigs   38_C116_contigs  39_B16_contigs  39_C118_contigs  3_C76_contigs   3_C8_contigs     40_B34_contigs  40_C125_contigs  41_B37_contigs  41_C126_contigs   42_B62_contigs  42_C127_contigs  43_B113_contigs  43_C129_contigs  44_B114_contigs  44_C143_contigs   45_B191_contigs  45_C144_contigs  46_B199_contigs  46_C146_contigs  47_C148_contigs  47_C63_contigs  48_A3_contigs    48_C66_contigs  49_A4_contigs    49_C69_contigs  4_C10_contigs     4_C77_contigs   50_A5_contigs    50_C23_contigs  51_A46_contigs  51_C25_contigs   52_A48_contigs   52_C29_contigs   53_A52_contigs   53_C30_contigs   54_A53_contigs  54_C36_contigs   55_A54_contigs   55_C42_contigs  56_A55_contigs  56_C43_contigs   57_A56_contigs  57_C49_contigs   58_A58_contigs  58_C51_contigs  59_A60_contigs   59_C54_contigs   5_C12_contigs    5_C82_contigs    60_A70_contigs   60_C150_contigs  61_A71_contigs   61_C151_contigs  62_A72_contigs  62_C153_contigs  63_A73_contigs  63_C71_contigs  64_A75_contigs  64_C73_contigs  65_A76_contigs  65_C74_contigs  66_A77_contigs   66_C2_contigs    67_A78_contigs   67_C5_contigs   68_A80_contigs   68_C6_contigs   69_A81_contigs   69_C7_contigs   6_C13_contigs    6_C86_contigs   70_A82_contigs  70_C9_contigs    71_A85_contigs   71_C11_contigs  72_A86_contigs   72_C16_contigs  73_A90_contigs   73_C18_contigs   74_A91_contigs   74_C20_contigs  75_A92_contigs   75_C135_contigs  76_A95_contigs   76_C137_contigs  77_A97_contigs   77_C139_contigs  78_A100_contigs  78_C141_contigs  79_A106_contigs  79_C142_contigs  7_C14_contigs    7_C88_contigs   80_A107_contigs   80_C104_contigs  81_A119_contigs  81_C105_contigs  82_A122_contigs  82_C107_contigs  83_A123_contigs  83_C109_contigs  84_A126_contigs  84_C110_contigs  85_A130_contigs  85_C111_contigs  86_A134_contigs  86_C112_contigs  87_A137_contigs  87_C114_contigs  88_C117_contigs  89_A141_contigs  89_C156_contigs  8_C15_contigs   8_C89_contigs   90_A144_contigs  90_C158_contigs  91_A147_contigs  91_C159_contigs  92_A148_contigs  92_C160_contigs  93_A151_contigs  93_C161_contigs  94_A154_contigs  94_C164_contigs  95_A156_contigs  95_C167_contigs  96_A163_contigs  96_C168_contigs  9_C17_contigs   9_C91_contigs  
Total length (>= 25000 bp)   6486856         6815516          6866674          6420160          6814474          5253702          6731619          6403868          6845838          6864912         5693894          6753189          6351358          5687480          6298694          6329034         6530764          6349679          6616431          6365722         4424732          6630476          6382063         6492368          6199341         6652397          6673118          6841830          6665143          6586361          6365116          6603758          6548349          7020600         6661370          6506736          6475092         6487621         6409782          6029366          6920651          6185038         5422732          6403234         6869682          6333350         6799359          6331922         6867660          6141675          6300820         6279740          6285878         6772991          6312669         5404421          6299066         6624187          6717368          6616047         6195156          6430507         6200305          6866638         5144890          6831649         6209437          6476710         603931            6297477         6577080          6364971          6129086          6366306          789873            6216399          6480944          6539143          6833923          6837273          6673056         6389366          6312236         6152372          6319637         218350            6663610         6409160          6474523         6780645         6686907          6563099          6674271          6694534          6681982          6772770         6942970          6695819          6744903         6783344         5979198          6748089         6969542          6762444         6323401         5067688          6257554          5020653          6670715          6338502          6668992          6191905          6348719          6711359         6745918          6745665         6200559         6817049         6628572         6810764         6333093         6718228          6654031          6484696          6477716         6687839          6324323         6564193          6325188         6076400          6675989         6563232         6603662          6682635          6919816         6635919          6675950         5078553          6819876          6406248          6447429         6226590          6281427          6475952          6411453          6675474          6349561          6548753          6368996          6461431          6691983          6005322          6346377         0                 6800501          6537580          6186207          6327574          6576660          6519540          6165985          5119940          6790947          3769216          6807992          5402763          6713731          6603991          6867529          6176826          5822790          6515425          6621167         6228269         6548781          6747185          6570568          6485538          6007532          6383919          5964950          6211609          5722468          6065827          5801098          6370445          2197524          6760991          6668668         6715217        
Total length (>= 50000 bp)   6262929         6345266          6771732          6079105          6741780          3446471          6570150          5702134          6557182          6796597         4101480          6753189          6206440          4181699          6227882          6228879         6220829          6232483          6217403          6306527         2660180          6556528          6323885         5219604          6107435         6604182          6605178          6793630          6558833          6468829          5547409          6528488          6141108          6960173         6523724          6384599          6196001         6308806         5928123          5176045          6753012          6185038         4793453          6259626         6767633          6201812         6615875          6200805         6690119          5863596          6195997         5920834          6132988         6407381          6177511         3813928          6086236         5973185          6546398          6472326         6030523          6340075         6161965          6677024         3697297          6764516         6015093          6434359         334779            6264706         6577080          6201630          6020379          6331940          411836            5920157          5499716          6377480          6795748          6761309          6603076         5865941          6193905         5628401          6108394         0                 6560577         6006462          6285049         6703732         6596475          5999437          6353690          6457089          6459895          6571658         6786396          6232749          6637455         6657310         4649535          6587009         6869857          6602777         6097397         3037653          5240629          3497483          6565926          5589586          6505876          5436699          6020031          6387755         6442816          6696757         6085867         6685300         6628572         6608661         6098595         6561462          6522100          6392852          6360668         6423495          6133066         6458073          6130198         4742433          6614105         6408111         6396488          6336616          6592555         6223043          6486319         3258969          6601524          5886586          6402997         5326732          6062147          5968326          6299004          6347945          6042911          6469110          6062940          5978423          6461453          4961988          6261410         0                 6729382          6007283          6050031          5610611          6433306          6021009          6065720          3376355          6686244          1824072          6664356          3807362          6603001          6234405          6585327          6062358          4435939          6228795          6496563         6137917         6083912          6399733          6068873          6137931          4902406          6101898          4858402          6041967          4388642          5881824          4710279          6213102          770827           6725140          6583182         6581647        
# contigs                    62              83               61               81               40               313              38               143              58               30              171              67               52               179              33               35              74               44               54               32              352              47               25              358              38              37               43               45               50               55               126              52               96               37              59               35               69              77              101              165              85               21              134              44              74               49              96               52              96               43               51              53               51              166              47              299              54              109              54               44              44               53              31               60              264              39              76               31              2943              43              44               44               34               32               4559              33               310              77               37               44               44              109              25              139              44              1256              49              91               60              43              50               84               69               60               53               41              75               67               48              38              162              47              59               53              44              287              131              304              45               145              63               147              63               56              88               38              34              38              25              34              35              41               57               51               30              50               44              41               43              177              44              44              48               47               51              70               43              291              65               114              45              136              40               91               28               60               71               31               69               102              79               157              28              2270              44               77               42               111              50               79               41               269              40               505              43               238              50               67               59               43               197              42               46              18              73               91               78               45               168              60               175              42               202              47               175              64               705              40               44              64             
Largest contig               566479          925598           662519           443126           1237530          231266           1075930          343956           937011           963065          161820           554730           672297           128092           582080           745093          554055           738311           500067           1246711         280169           499653           972347          260343           891087          1016458          965440           755207           716920           680603           317972           626521           466906           1080893         806665           837290           781783          623328          484984           476297           443094           890846          385910           788968          554731           727808          675080           727807          443107           1052523          728067          507186           700416          632153           790558          270566           700624          592620           962582           659392          938724           819976          815710           590191          278532           742935          820972           1274814         122679            1073278         1212976          1091398          1332899          1324720          122083            1212200          290541           431244           1237520          791996           709071          606223           972335          457793           810775          28944             667091          944558           570036          987007          671011           388135           660816           722921           1340359          724059          662519           847563           1165793         807357          209885           610409          834728           779368          1070617         172114           393249           201981           778001           379733           850442           306823           617544           981193          499808           704131          970420          610424          1267461         1029601         886342          777284           716506           681746           1054736         899292           1188341         723508           1044286         496351           676147          819941          1065830          1049345          889330          650750           680469          251019           558396           563020           944705          430923           904181           356888           950915           658442           700068           1267276          700068           450410           743230           303423           1383757         20382             799793           396136           891087           395532           793812           400672           664395           276845           1281994          123595           707230           260118           641698           586540           413712           938317           293835           1022168          623442          1362058         586540           616915           348545           897417           396358           650642           260071           971304           260072           1066729          260074           868254           124415           1003162          680467          677969         
Total length                 6592134         6998288          6999496          6551668          6919398          6891765          6779657          6915953          6931204          6888214         6538146          6953930          6491476          6534282          6308861          6342590         6715178          6393305          6688188          6395150         6442860          6686056          6393723         7945175          6252067         6744343          6765554          6898091          6761361          6660699          6754549          6663658          6795313          7072840         6761072          6545290          6666341         6681150         6657477          6640015          7103480          6195273         6108841          6471680         7101661          6392475         7115865          6393106         7096823          6180973          6389142         6301815          6390930         7238005          6392045         6973012          6391695         6948873          6778083          6653777         6237517          6536224         6237572          6964834         6636840          6883870         6353865          6520987         7384431           6381682         6694797          6429570          6234657          6385673          7716616           6250422          7590407          6717406          6920847          6921339          6733237         6662625          6342555         6656210          6418496         6301143           6716151         6660116          6594408         6857261         6740749          6848496          6764384          6861023          6764312          6865330         7102784          6852586          6811084         6856486         6661155          6860137         7097281          6861157         6399359         6837220          6754519          6906196          6762091          7031970          6784263          6849449          6465010          6858499         6940385          6862394         6258478         6862817         6676153         6862687         6368757         6773173          6729853          6608281          6491395         6769768          6359360         6610602          6359487         6651706          6717686         6629077         6674909          6770742          6954503         6768843          6706089         6705555          6923163          6767886          6520847         6759269          6360472          6767903          6426722          6770080          6591318          6606673          6590964          6770864          6883517          6651160          6390457         6753496           6897505          6690159          6251659          6683968          6654717          6690366          6254210          6661508          6845882          6608181          6851601          6630564          6800073          6692158          6949709          6232028          6677710          6630352          6665013         6237114         6690007          6940507          6690394          6581365          6684818          6473923          6683697          6284013          6674379          6123807          6678893          6588272          6153538          6841405          6701682         6795712        
Reference length             6498072         6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072         6498072          6498072          6498072          6498072          6498072          6498072         6498072          6498072          6498072          6498072         6498072          6498072          6498072         6498072          6498072         6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072         6498072          6498072          6498072         6498072         6498072          6498072          6498072          6498072         6498072          6498072         6498072          6498072         6498072          6498072         6498072          6498072          6498072         6498072          6498072         6498072          6498072         6498072          6498072         6498072          6498072          6498072         6498072          6498072         6498072          6498072         6498072          6498072         6498072          6498072         6498072           6498072         6498072          6498072          6498072          6498072          6498072           6498072          6498072          6498072          6498072          6498072          6498072         6498072          6498072         6498072          6498072         6498072           6498072         6498072          6498072         6498072         6498072          6498072          6498072          6498072          6498072          6498072         6498072          6498072          6498072         6498072         6498072          6498072         6498072          6498072         6498072         6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072         6498072          6498072         6498072         6498072         6498072         6498072         6498072         6498072          6498072          6498072          6498072         6498072          6498072         6498072          6498072         6498072          6498072         6498072         6498072          6498072          6498072         6498072          6498072         6498072          6498072          6498072          6498072         6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072         6498072           6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072         6498072         6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072          6498072         6498072        
GC (%)                       65.85           65.77            65.76            65.92            66.02            66.00            66.25            66.03            66.04            66.05           66.22            65.67            65.87            66.22            66.52            66.36           65.84            66.34            66.20            66.34           66.28            66.30            66.34           65.45            66.54           66.15            66.14            66.01            66.14            66.15            66.13            66.15            66.11            65.96           66.14            66.22            66.05           65.91           66.06            65.83            65.73            66.42           66.23            66.44           65.73            66.40           65.70            66.40           65.72            66.47            66.40           66.52            66.40           65.77            66.40           65.90            66.40           66.05            66.07            66.21           66.56            66.31           66.56            65.83           66.08            66.03           66.21            66.35           65.64             66.18           66.18            66.29            66.56            66.48            65.27             66.56            65.28            66.03            66.02            66.02            66.28           66.25            66.36           66.25            66.39           66.25             66.17           66.25            65.85           66.16           66.11            66.16            66.09            66.16            66.09            66.16           65.74            66.16            66.10           66.16           66.27            66.16           65.90            66.16           66.31           66.15            65.83            66.06            66.14            66.15            66.09            66.14            66.57            66.16           66.13            66.16           66.56           66.16           66.14           66.16           66.45           66.16            66.16            66.21            66.31           66.16            66.14           66.21            66.14           66.29            66.17           66.22           66.12            66.16            66.12           66.16            66.28           66.17            66.01            66.15            66.28           66.15            66.33            66.16            66.32            66.16            66.19            66.21            66.19            66.15            66.04            66.28            66.44           66.16             66.05            66.05            66.54            66.05            66.18            66.05            66.54            66.01            66.10            65.95            66.10            66.05            66.13            66.05            66.06            66.57            66.03            66.25            66.30           66.62           66.06            66.13            66.05            66.29            66.04            66.55            66.04            66.54            66.03            66.42            66.04            66.23            66.23            66.16            66.28           66.14          
Reference GC (%)             66.35           66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35           66.35            66.35            66.35            66.35            66.35            66.35           66.35            66.35            66.35            66.35           66.35            66.35            66.35           66.35            66.35           66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35           66.35            66.35            66.35           66.35           66.35            66.35            66.35            66.35           66.35            66.35           66.35            66.35           66.35            66.35           66.35            66.35            66.35           66.35            66.35           66.35            66.35           66.35            66.35           66.35            66.35            66.35           66.35            66.35           66.35            66.35           66.35            66.35           66.35            66.35           66.35             66.35           66.35            66.35            66.35            66.35            66.35             66.35            66.35            66.35            66.35            66.35            66.35           66.35            66.35           66.35            66.35           66.35             66.35           66.35            66.35           66.35           66.35            66.35            66.35            66.35            66.35            66.35           66.35            66.35            66.35           66.35           66.35            66.35           66.35            66.35           66.35           66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35           66.35            66.35           66.35           66.35           66.35           66.35           66.35           66.35            66.35            66.35            66.35           66.35            66.35           66.35            66.35           66.35            66.35           66.35           66.35            66.35            66.35           66.35            66.35           66.35            66.35            66.35            66.35           66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35           66.35             66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35           66.35           66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35            66.35           66.35          
N50                          308908          300555           324041           238119           498464           50541            445995           118290           268594           656189          62283            271735           413520           63080            389311           427129          309268           317413           284647           425607          41205            345231           744071          79414            484191          765097           582018           432982           383219           324043           102905           306922           134023           307802          288927           541853           245114          365724          139793           114484           215128           509832          113295           387934          273268           263891          223803           262271          232890           256747           302787          269448           263891          189481           335149          56595            232404          157239           281422           510447          501046           374553          591515           239793          56594            415693          266560           531968          4040              421396          497790           340573           466207           547913           2019              639907           110581           218652           560891           392093           346983          133722           744948          119642           322680          7210              260002          170156           305352          308621          444497           174639           272904           174662           303227           317836          236060           243192           413025          421466          70519            347904          301969           354537          357748          43814            130906           50446            386506           106017           353104           92587            270683           272962          176323           372438          464280          341421          495780          375931          496945          515006           308433           295265           432683          395882           409012          354072           402236          71946            381600          355333          440189           464823           398203          267308           396648          48130            298481           117532           490089          123347           331636           173873           679878           255182           233401           469731           233401           178951           260519           84231            626418          4198              392114           219997           488198           131748           349000           199820           406673           52741            439215           28566            395331           56819            321999           248994           303635           501004           78222            390743           398371          662386          248983           176827           159211           272746           87099            277448           81790            414433           66442            347198           81786            388609           18193            426929           426041          275457         
NG50                         308908          300555           324141           238119           592559           52575            470634           125096           270524           797594          63006            338478           413520           63080            389311           427129          309268           317413           313143           425607          40616            352269           744071          92982            480575          765097           582018           432982           383219           342118           111905           306922           134218           420455          288927           541853           309078          365724          139793           123545           238188           509832          102567           387934          294454           263891          240214           262271          237753           256747           264040          269448           263891          193514           308042          58958            232404          162508           287134           510447          501046           374553          591515           253702          56759            421437          262802           531968          4776              304144          497790           340573           454492           547913           2418              639907           122463           218652           642482           392093           346983          133802           744948          119642           322680          7007              260002          170156           308908          308621          444497           178325           272904           178103           307658           317836          261591           243192           413025          421466          70883            347904          308827           423817          357748          45622            139320           53954            386506           114257           446482           94788            270683           292207          187652           372438          464280          375910          506799          388835          472067          515006           308433           295265           432683          408403           409012          354072           402236          72011            381600          355333          485258           464823           398755          316402           396648          50356            306242           155938           490089          131375           331636           176234           679878           255182           233401           469731           233401           190132           272903           84231            626418          4385              394338           219997           488198           134402           349000           219997           352673           53950            439215           29794            395331           58421            348416           248994           312416           501004           79034            390743           398371          662386          248983           188042           159211           272746           90884            277448           82155            409169           70093            265815           84239            388609           17076            426929           426041          275457         
N75                          238778          136220           145832           90788            270324           27994            226989           59101            202087           593044          38376            155644           349871           39219            244192           303113          121146           177872           179777           260517          20244            200087           431420          36616            395888          409706           274504           183059           182261           165450           68762            217036           81147            221437          166127           252488           155470          129704          101050           54788            117595           393757          59490            260742          146462           185195          123838           200336          117595           156460           184882          208005           200336          104966           204274          28395            183941          69891            142841           207797          270852           165444          268937           142940          28521            245058          145078           256861          1940              225713          247962           213085           259850           278466           1175              286762           44721            137973           342061           251060           249626          84618            431420          65855            257218          4202              144978          104693           198372          171077          165456           86104            133850           128967           210977           219079          131814           108936           239007          229588          42345            173451          157907           258519          234451          24162            56043            22938            214836           56066            156586           55161            161323           209689          114146           299111          271002          226331          384925          204848          270902          268769           165456           125231           260061          246347           252275          140491           248139          45872            198768          219419          258697           265674           245299          147787           268119          25673            194151           69721            269498          56147            270774           73740            298297           171466           116137           301910           116137           79390            149006           48037            348394          2516              268464           119385           307718           80753            165444           124636           270941           26702            270393           13527            199614           30742            194170           143366           245385           246597           42000            257490           251415          442253          132795           105225           113382           219040           46686            176875           47515            271992           36364            149574           44742            209589           8491             318613           261047          142925         
NG75                         238778          177734           165444           90788            278531           31788            260121           71149            209260           593044          38376            165456           349871           39360            232102           303113          124994           177872           179777           260517          20110            250701           431420          58578            309062          512359           287123           217035           195433           169855           69873            237326           82926            270770          176285           271663           170722          141445          101955           61268            139305           327020          47992            260742          165456           185195          136716           185195          132393           145079           184882          164544           185509          132053           204274          34796            165311          80941            162307           271219          270852           169381          268937           159308          29612            269779          143389           256861          2585              200559          247962           213085           233663           278466           1527              286762           86044            142871           392093           263354           268164          84925            431420          76450            257218          3946              165661          104725           198372          204898          209797           108935           163086           136663           210977           227564          143976           118242           273201          258555          45974            234660          210297           271562          234451          27863            65894            28155            222847           65513            160313           58836            161323           233148          138495           299111          266471          227669          384925          227667          270902          268769           170526           125231           260061          246347           248060          144232           211645          47799            205397          219419          266469           265674           266648          184226           288585          28504            245074           70765            269498          58518            270774           80866            298297           176358           116137           426242           116137           84610            175391           51028            348394          2712              279322           122065           297248           84290            217035           129963           263584           27679            310621           14187            232332           33642            218364           144029           245780           246597           43566            257490           251415          434831          134247           121191           119104           219040           50277            176875           48950            271992           38537            139883           46214            209589           7335             318613           288586          145832         
L50                          8               7                8                11               5                40               6                19               7                5               36               9                7                37               7                6               9                8                9                5               42               9                4               30               5               4                5                6                7                8                20               8                15               6               8                5                8               7               15               17               11               5               14               7               10               8               10               8               11               7                8               10               8               12               6               36               9               13               7                6               5                6               5                10              31               7               7                4               441               5               4                7                4                4                892               4                23               11               5                6                7               15               4               16               7               265               8               10               9               8               6                13               8                11               6                7               9                10               5               6               33               8               8                7               5               49               16               38               6                20               6                22               9                9               12               7               5               8               5               7               5               6                7                8                4               6                5               6                6               21               7               7               6                5                7               8                7               38               10               14               5               15               6                14               4                9                10               5                10               13               10               19               4               511               7                12               5                15               7                12               6                35               5                65               7                29               8                10               10               5                24               5                7               3               10               12               14               7                22               8                23               5                25               6                23               6                96               5                7               9              
LG50                         8               7                7                11               4                37               5                17               6                4               35               8                7                37               7                6               9                8                8                5               43               8                4               21               6               4                5                6                7                7                19               8                14               5               8                5                7               7               15               16               10               5               16               7               9                8               8                8               10               7                9               10               8               11               7               31               9               12               6                6               5                6               5                9               30               6               8                4               340               6               4                7                5                4                616               4                18               11               4                6                7               14               4               16               7               279               8               10               8               8               6                12               8                10               5                7               8                10               5               6               32               8               7                6               5               45               15               34               6                17               5                20               9                8               11               7               5               7               4               6               6               6                7                8                4               5                5               6                6               20               7               7               5                5                6               7                7               36               9                13               5               14               6                13               4                9                10               5                10               12               9                19               4               481               6                12               5                14               7                11               7                33               5                63               7                28               7                10               9                5                23               5                7               3               10               11               14               7                21               8                22               6                24               7                22               6                106              5                7               9              
L75                          14              16               16               22               9                86               11               40               15               7               69               17               11               70               12               11              21               14               15               10              97               15               7               67               9               7                10               12               14               15               41               15               32               13              16               10               16              14              29               38               23               8               33               13              19               15              21               15              23               14               16              16               15              25               13              77               16              31               15               11              9                13              9                19              72               12              15               8               1106              11              9                14               9                8                2158              8                48               21               8                12               13              30               7               35               12              549               16              23               15              15              13               27               17               22               12               14              20               22               10              12              62               15              16               12              11              101              36               85               12               43               14               46               17               15              24               12              9               14              8               13              10              10               14               17               9               11               10              14               11              50               14              13              11               10               13              16               12              86               17               33               10              37               11               29               8                17               20               9                20               28               18               45               7               1028              12               24               8                31               13               23               11               82               10               149              13               68               14               19               16               9                55               11               13              6               20               24               27               13               47               15               51               10               58               13               51               11               217              10               12              18             
LG75                         14              14               14               22               8                77               10               35               13               7               69               15               11               69               13               11              19               14               15               10              99               14               7               43               10              6                9                11               13               14               39               14               30               11              15               9                15              13              28               36               20               9               38               13              16               15              17               16              20               16               16              17               16              20               13              66               17              27               14               10              9                12              9                17              69               11              16               8               810               12              9                14               10               8                1475              8                34               20               7                11               12              29               7               33               12              585               15              22               15              14              12               24               15               20               12               13              16               20               9               11              59               13              13               11              11              91               33               73               11               36               12               41               17               14              21               12              10              13              8               12              10              10               13               17               9               11               11              13               12              47               13              13              10               10               11              15               11              80               15               30               10              33               11               26               8                16               20               8                20               25               16               43               7               955               11               23               9                29               12               22               12               77               9                143              12               65               13               18               15               9                52               11               13              7               19               21               25               13               44               15               48               10               54               15               48               11               250              10               11              17             
# misassemblies              66              60               73               63               71               54               64               58               68               69              45               70               63               46               56               52              86               55               60               57              53               57               55              50               49              66               67               77               62               72               60               75               60               62              60               82               57              53              55               35               68               51              55               45              74               54              70               54              65               50               52              53               51              55               52              65               53              66               70               62              38               63              41               71              54               70              55               61              25                47              64               97               43               68               26                50               46               76               71               71               59              47               55              45               43              43                69              48               67              62              70               55               58               58               61               68              69               60               65              65              46               68              68               70              59              50               48               50               63               59               77               62               38               63              59               67              53              67              65              67              57              72               80               63               57              67               77              63               77              52               68              62              61               70               66              66               53              56               63               67               63              65               60               64               51               71               65               62               65               67               58               53               69              26                69               74               49               73               66               76               49               68               58               63               60               62               58               79               57               38               73               49               54              50              77               56               76               49               74               39               72               53               67               60               69               60               43               60               52              72             
# misassembled contigs       21              25               22               27               16               35               19               33               23               13              33               22               15               36               16               15              30               20               24               15              29               21               10              38               13              13               17               22               21               25               38               25               34               18              23               16               25              21              33               24               25               12              25               17              26               24              23               25              27               16               24              19               25              30               24              38               26              30               25               14              12               19              12               25              35               20              19               16              21                17              16               25               14               14               26                15               38               24               17               22               18              26               10              27               15              39                23              22               22              19              21               24               24               23               19               19              26               25               17              17              35               19              23               21              17              33               32               31               20               32               21               30               20               20              22               18              17              22              16              19              18              20               22               23               13              20               15              18               17              30               20              19              18               19               23              22               17              35               25               33               14              33               17               34               12               28               30               15               30               31               25               32               13              26                22               30               12               33               22               28               14               43               17               49               20               41               21               25               21               12               43               13               21              10              27               22               30               17               44               17               44               15               42               23               41               22               36               15               18              28             
Misassembled contigs length  5489977         5271096          5507658          4022171          6206578          2306034          5706164          3626865          5946453          6132038         1787182          5519461          5818493          1744026          5407616          5244565         5694643          5025605          5371138          5781068         2019632          5838995          5426230         2980513          5074143         6527879          5988355          6308214          5396795          5958548          3927841          5949240          4420639          5848753         5173703          6015465          5139915         5640684         4758183          2796882          5170236          5092202         3365893          5524950         5701350          5123077         5091872          5154942         5317386          4777420          4756813         4879252          5118518         4655182          5563077         2787796          5107512         3917254          5755743          5451294         5357634          5456920         5341606          5750334         2451202          6066981         4890830          5750459         148961            5426484         5953478          6042424          5583545          5982047          87402             5680002          3204494          5075122          6662844          6136949          5653581         3833337          5770059         3519249          4685771         390953            5350726         3756961          5193000         5436236         6011416          3745662          5251291          4454000          5495004          5453153         5606912          4451930          5914055         5821437         2350453          5253537         5742139          5701474         5758083         1566330          4246120          2000986          5894796          3631182          5931557          3471179          4824220          5131986         4228751          5988617         5934954         5824155         6372257         5734544         5867288         6457077          5813400          5385078          5740359         6159042          5189954         5307712          5350626         2961790          5461819         5405388         5886329          6233103          6291180         5468414          5730725         2086176          5550185          4482422          5558967         4072317          5617417          4762802          5478136          5931693          5124799          6089192          5124802          4826501          5397206          3253465          5911622         138864            6513602          5040137          5078761          4419586          6093421          4910384          4734038          2617612          5952322          1636276          5859791          2865870          5583201          5618387          5206582          5404696          3303608          5235018          5930960         5994454         5620075          4436477          4460494          5012729          3768517          4741555          3592276          5599998          3246104          5404417          3429516          5805958          920332           5760936          6053023         5960717        
# local misassemblies        39              65               71               44               56               43               50               43               50               52              40               67               58               42               45               51              71               54               53               52              50               65               54              67               48              69               65               72               67               67               67               70               65               50              67               63               38              43              38               42               71               41              47               46              71               53              69               55              68               46               57              45               53              49               57              50               51              53               66               63              37               58              38               61              48               52              55               52              74                43              71               95               37               59               53                46               66               74               58               56               66              52               55              55               54              48                62              53               40              52              71               57               54               53               57               54              67               54               56              54              49               54              53               54              54              56               41               52               65               53               68               53               48               51              52               52              57              53              54              53              59              54               65               56               49              54               55              54               55              64               62              54              60               55               53              50               64              50               48               53               49              54               56               52               35               55               50               55               50               55               67               63               61              42                52               58               50               60               61               60               50               56               42               57               44               57               43               59               50               38               60               52               63              44              62               53               58               50               58               53               57               34               56               58               59               72               41               53               65              70             
# scaffold gap ext. mis.     0               0                0                0                0                0                0                0                0                0               0                0                0                0                0                0               0                0                0                0               0                0                0               0                0               0                0                0                0                0                0                0                0                0               0                0                0               0               0                0                0                0               0                0               0                0               0                0               0                0                0               0                0               0                0               0                0               0                0                0               0                0               0                0               0                0               0                0               0                 0               0                0                0                0                0                 0                0                0                0                0                0               0                0               0                0               0                 0               0                0               0               0                0                0                0                0                0               0                0                0               0               0                0               0                0               0               0                0                0                0                0                0                0                0                0               0                0               0               0               0               0               0               0                0                0                0               0                0               0                0               0                0               0               0                0                0               0                0               0                0                0                0               0                0                0                0                0                0                0                0                0                0                0                0               0                 0                0                0                0                0                0                0                0                0                0                0                0                0                0                0                0                0                0                0               0               0                0                0                0                0                0                0                0                0                0                0                0                0                0                0               0              
# scaffold gap loc. mis.     0               0                0                0                0                0                0                0                0                0               0                0                0                0                0                0               0                0                0                0               0                0                0               0                0               0                0                0                0                0                0                0                0                0               0                0                0               0               0                0                0                0               0                0               0                0               0                0               0                0                0               0                0               0                0               0                0               0                0                0               0                0               0                0               0                0               0                0               0                 0               0                0                0                0                0                 0                0                0                0                0                0               0                0               0                0               0                 0               0                0               0               0                0                0                0                0                0               0                0                0               0               0                0               0                0               0               0                0                0                0                0                0                0                0                0               0                0               0               0               0               0               0               0                0                0                0               0                0               0                0               0                0               0               0                0                0               0                0               0                0                0                0               0                0                0                0                0                0                0                0                0                0                0                0               0                 0                0                0                0                0                0                0                0                0                0                0                0                0                0                0                0                0                0                0               0               0                0                0                0                0                0                0                0                0                0                0                0                0                0                0               0              
